Category,Periodical
I. AMERICAN FEDERATION OF LABOR,"American Federationist (m.). Established 1894, 64 and more pages, $1. The American Federation of Labor, 9th Street and Massachusetts Avenue, Washington, D. C. William Green, ed."
I. AMERICAN FEDERATION OF LABOR,"American Federation of Labor Weekly News Service (w.). The American Federation of Labor, 9th Street and Massachusetts Avenue, Washington, D. C. A single page clip-sheet giving ""a brief summary of important matters affecting labor."""
I. AMERICAN FEDERATION OF LABOR,"International Labor News Service (irreg.). International Labor Press of America, American Federation of Labor Building, Washington, D. C."
I. AMERICAN FEDERATION OF LABOR,"Metal Trades Department Bulletin, The (m.). Established 1919, 8 pages, circulation 1000. Metal Trades Depart ment of the American Federation of Labor, 9th Street and Massachusetts Avenue, Washington, D. C. James O'Connell, ed."
I. AMERICAN FEDERATION OF LABOR,"Amalgamated Journal, The (w.). Thursdays. Established 1899, 24 pages, $1.50. Amalgamated Association of Iron, Steel and Tin Workers of North America, 510 Fourth Avenue, Pittsburgh, Pa. Ben I. Davis, ed. International Labor News, Labor Bureau, Inc., Comission of the Interchurch."
II. AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"American Federation of Teachers Monthly Bulletin (m.). Established 1921, 4 pages, $1, circulation 5,000. Ameri can Federation of Teachers, 327 South La Salle Street, Chicago, Ill. F. G. Stecker, ed. Uses mats."
II. AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"American Flint (m.). Established 1909, 48 pages, $1, cir culation 10,000. American Flint Glass Workers' Union, 337-48 Ohio Building, Toledo, Ohio. Joseph Gillooly, ed. International Labor News. Uses mats."
II. AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"American Photo Engraver, The (m.). Established 1907, 72 to 80 pages, $.75, circulation 8,000. International Photo Engravers' Union, Room 701, 166 West Washington Stret, Chicago, Ill. Matthew Woll, ed. International Labor News."
II. AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"American Pressman, The (m.). Established 1889, 64 pages, $2, circulation 27,000. International Printing Pressmen and Assistants' Union of North America, Pressmen's Home, Tenn. Thomas E. Dunwody, ed. International Labor News, American Federation of Labor Weekly News."
II. AMERICAN FEDERATION OF LABOR NATIONAL AND INTERNATIONAL UNIONS,"Bakers' Journal, The (w.). Saturdays. English and Ger man. Established 1885, 4 pages, $1, circulation 28,000. Bakery and Confectionery Workers' International Union, 2719 Best Avenue, Chicago, Ill. Charles F. Hohmann, ed."
